COPAIP;NUNATI;NUTRAV;NOBOVI;DANAIS;TYRASU;SEXBOV;CAUSEN;DATEEN;CAUSSO;DATESO;COPAMI;NUMEIP;NOMEIP;TRAMIP;COPAME;NUMERE;NOMERE;TRAMER;COPAPE;NUPERE;NOPERE;TRAPER
FR;8223010094;94;ULM;09/10/2023;79;F;A;04/07/2024;;;FR;8220012349;SAMBA;79;FR;8220012349;SAMBA;79;FR;6415300087;SOLEIL;79
FR;8223010095;95;UPSA;17/10/2023;79;F;A;04/07/2024;;;FR;8220211677;SAVANTE;79;FR;8220211677;SAVANTE;79;FR;6415300087;SOLEIL;79
FR;8160070555;555;;10/01/2020;79;F;A;11/10/2022;;;FR;8125298204;FANNY;79;FR;8125298204;FANNY;79;FR;5343396600;GAELIC;79
FR;8160070568;568;;12/04/2020;79;F;A;11/10/2022;;;FR;8160114854;;79;FR;8160114854;;79;FR;5343396600;GAELIC;79
FR;8222010580;580;TAIGA;21/02/2022;79;F;A;16/11/2022;;;FR;8213012435;IARO;79;FR;8213012435;IARO;79;FR;2278701332;LUCKY;79
FR;8222010586;586;TANGO;14/03/2022;79;F;A;16/11/2022;;;FR;8213012420;ISSINO;79;FR;8213012420;ISSINO;79;FR;2278701332;LUCKY;79
FR;8160070588;588;MINNIE;23/06/2020;79;F;A;15/04/2023;;;FR;8160313085;;79;FR;8160313085;;79;FR;6413382190;HAPPY;79
FR;8160070592;592;HERBE;09/07/2020;79;F;A;15/04/2023;;;FR;3100240495;FANNY;79;FR;3100240495;FANNY;79;FR;7934931561;HELLO;79
FR;8222010655;655;TABA;24/10/2022;79;F;A;14/06/2023;;;FR;8220012288;RECENTE;79;FR;8220012288;RECENTE;79;FR;3100361906;HASHTAG;79
FR;8222010659;659;TABOU;03/11/2022;79;F;A;14/06/2023;;;FR;8219013340;RATINE;79;FR;8219013340;RATINE;79;FR;3100361906;HASHTAG;79
FR;8235430756;756;JUDITH;06/11/2013;79;F;N;06/11/2013;;;FR;8235351875;;79;;;;;;;;79
FR;8235430777;777;;25/05/2014;79;F;N;25/05/2014;;;FR;8235361007;PAQUES;79;;;;;;;;79
FR;8224010816;816;VALENCE;16/07/2024;79;F;A;04/06/2025;;;FR;8216013151;MUSTER;79;FR;8216013151;MUSTER;79;FR;8160151325;SCAPIN;79
FR;8224010817;817;VIVACE;18/07/2024;79;F;A;04/06/2025;;;FR;8220213979;SABLE;79;FR;8220213979;SABLE;79;FR;6415300087;SOLEIL;79
FR;8224010820;820;VIOLETTE;19/09/2024;79;F;A;04/06/2025;;;FR;8220213971;SOJA;79;FR;8220213971;SOJA;79;FR;6415300087;SOLEIL;79
FR;8235590957;957;VIENNOISE;03/10/2024;79;F;N;03/10/2024;;;FR;8235529323;COURAGEUSE;79;;;;;;;;79
FR;8235590961;961;VAPOREUSE;19/10/2024;79;F;N;19/10/2024;;;FR;8235474463;MERINGUE;79;;;;;;;;79
FR;8235590962;962;VOLUPTE;23/10/2024;79;F;N;23/10/2024;;;FR;8235506377;OLYMPE;79;;;;;;;;79
FR;8235590963;963;VITAMINE;24/10/2024;79;F;N;24/10/2024;;;FR;8235529326;RIHANNA;79;;;;;;;;79
FR;8235590964;964;VACANCE;24/10/2024;79;F;N;24/10/2024;;;FR;4632709235;;79;;;;;;;;79
