"Date debut traitement";"Matin/soir";"Date fin traitement";"Matin/soir";"N° National";"N° Travail";"Nom";"N° ordonnance";"Prescripteur";"Nature du produit";"Par";"Dose";"Voie";"Rythme";"Motif du traitement";"Date";"Observations";"Nom de l'intervenant";"Qualite de l'intervenant";"Date remise en vente lait";"Matin/soir";"Date remise en vente viande"
"02/10/2025";"Matin";"02/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"SPECIALE 2411";"Animal";"500.0 ml";"IV";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"CHOLET";"Vétérinaire";"";"";""
"02/10/2025";"Matin";"02/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"LODEVIL";"Animal";"1.0 l";"IV";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"CHOLET";"Vétérinaire";"";"";""
"02/10/2025";"Matin";"02/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"DEXADRESON";"100 Kg";"3.0 ml";"Intra musculaire";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"CHOLET";"Vétérinaire";"06/10";"Matin";"11/10"
"02/10/2025";"Matin";"02/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"ESTOCELAN INJECTABLE";"Animal";"20.0 ml";"Intra musculaire";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"CHOLET";"Vétérinaire";"";"";"21/10"
"02/10/2025";"Matin";"02/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"MULTIMIN";"100 Kg";"0.5 ml";"SC";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"CHOLET";"Vétérinaire";"";"";"31/10"
"02/10/2025";"Matin";"04/10/2025";"Soir";"FR 8235599222";"9222";"ACHILLEE";"0276275";"CHOLET";"PAROFOR LIQ";"100 Kg";"25.0 ml";"VO";"1 fois/Jour";"DIARRHEE VEAU";"02/10/2025";"";"SAMUEL";"Eleveur";"";"";"25/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"82 35557923";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235543542";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235529278";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235565519";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 222010659";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235543533";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
